label,path,L_mean,L_std,L_hist_0,L_hist_1,L_hist_2,L_hist_3,L_hist_4,L_hist_5,L_hist_6,L_hist_7,L_hist_8,L_hist_9,L_hist_10,L_hist_11,L_hist_12,L_hist_13,L_hist_14,L_hist_15,a_mean,a_std,a_hist_0,a_hist_1,a_hist_2,a_hist_3,a_hist_4,a_hist_5,a_hist_6,a_hist_7,a_hist_8,a_hist_9,a_hist_10,a_hist_11,a_hist_12,a_hist_13,a_hist_14,a_hist_15,b_mean,b_std,b_hist_0,b_hist_1,b_hist_2,b_hist_3,b_hist_4,b_hist_5,b_hist_6,b_hist_7,b_hist_8,b_hist_9,b_hist_10,b_hist_11,b_hist_12,b_hist_13,b_hist_14,b_hist_15
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1).jpeg,147.14559936523438,48.14239501953125,0.002747008576989174,0.013509402051568031,0.029777778312563896,0.021309401839971542,0.03475726395845413,0.04431452974677086,0.056531623005867004,0.09979316592216492,0.13555385172367096,0.12398974597454071,0.12956580519676208,0.13058120012283325,0.09025128185749054,0.05804102495312691,0.01931111142039299,0.009965811856091022,131.09817504882812,9.900025367736816,0.0,0.0,0.0,0.0,0.0,0.0,0.060935042798519135,0.16504786908626556,0.6446649432182312,0.1293521374464035,0.0,0.0,0.0,0.0,0.0,0.0,146.11483764648438,18.244199752807617,0.0,0.0,0.0,0.0,0.0,0.0,8.547008474124596e-05,0.21537606418132782,0.22474700212478638,0.19804786145687103,0.3578529953956604,0.0038735042326152325,1.709401658445131e-05,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1).jpg,149.16627502441406,50.88753890991211,0.0,0.0,6.8411618485697545e-06,0.00034547867835499346,0.013644697144627571,0.08076333999633789,0.2218383550643921,0.21189472079277039,0.07770533859729767,0.019196299836039543,0.013056357391178608,0.02050638198852539,0.046995360404253006,0.28453418612480164,0.009512635879218578,0.0,114.26726531982422,11.955227851867676,0.0,0.0,0.0,0.0,0.0,0.0010809035738930106,0.5212759971618652,0.2550932466983795,0.2216160148382187,0.0009338185773231089,0.0,0.0,0.0,0.0,0.0,0.0,147.19265747070312,29.138500213623047,0.0,0.0,0.0,0.0,0.0,0.0,0.27622559666633606,0.09274221211671829,0.018111975863575935,0.11064553260803223,0.32880333065986633,0.1734713464975357,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (10).jpg,116.46630096435547,56.28274917602539,0.010486726649105549,0.03362549468874931,0.06516659259796143,0.08318498730659485,0.08325295895338058,0.10916552692651749,0.11294916272163391,0.10995203256607056,0.09730970114469528,0.0719829648733139,0.06845178455114365,0.05782264471054077,0.03258652985095978,0.013911095447838306,0.009234145283699036,0.04091765359044075,112.96727752685547,9.217432975769043,0.0,0.0,0.0,0.0,0.0,0.00369948404841125,0.5178048014640808,0.37478071451187134,0.10370855033397675,6.473288067354588e-06,0.0,0.0,0.0,0.0,0.0,0.0,139.457275390625,10.16776180267334,0.0,0.0,0.0,0.0,0.0,0.0,6.473287794506177e-05,0.09985694289207458,0.5838355422019958,0.274927020072937,0.03975246101617813,0.0015632990980520844,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (100).jpg,129.78370666503906,60.97936248779297,0.01075000036507845,0.06566666811704636,0.069883331656456,0.04256666824221611,0.034816667437553406,0.04826666787266731,0.0879666656255722,0.10061666369438171,0.0965166687965393,0.1048833355307579,0.09901666641235352,0.06866666674613953,0.050983332097530365,0.0604499988257885,0.04286666586995125,0.016083333641290665,121.56777954101562,11.818147659301758,0.0,0.0,0.0,0.0,0.0,0.0,0.29214999079704285,0.3222000002861023,0.3682500123977661,0.017400000244379044,0.0,0.0,0.0,0.0,0.0,0.0,149.1289520263672,8.239442825317383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006500000017695129,0.2648833394050598,0.6061499714851379,0.12736666202545166,0.0009500000160187483,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1000).JPG,132.50946044921875,41.343448638916016,0.000213623046875,0.001678466796875,0.0068359375,0.0220947265625,0.0605316162109375,0.106170654296875,0.143463134765625,0.150634765625,0.130889892578125,0.09820556640625,0.095977783203125,0.108123779296875,0.03875732421875,0.0194854736328125,0.011627197265625,0.00531005859375,124.06864929199219,8.581764221191406,0.0,0.0,0.0,0.0,0.0,0.0,0.063568115234375,0.5568084716796875,0.374114990234375,0.0054931640625,1.52587890625e-05,0.0,0.0,0.0,0.0,0.0,146.99464416503906,12.335943222045898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583404541015625,0.1425933837890625,0.598114013671875,0.1009521484375,0.0,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1001).JPG,136.9326934814453,24.24064064025879,0.0,7.62939453125e-05,0.000701904296875,0.00189208984375,0.0105133056640625,0.040985107421875,0.1015777587890625,0.1849517822265625,0.22125244140625,0.2559967041015625,0.1558990478515625,0.0229949951171875,0.0024566650390625,0.0005950927734375,0.0001068115234375,0.0,127.46334838867188,8.20018196105957,0.0,0.0,0.0,0.0,0.0,0.0,0.0527496337890625,0.2780303955078125,0.6690521240234375,0.0001678466796875,0.0,0.0,0.0,0.0,0.0,0.0,136.72767639160156,13.482498168945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525390625,0.0706329345703125,0.38812255859375,0.0157318115234375,0.0001220703125,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1002).JPG,131.3553924560547,21.666419982910156,0.0,0.0001678466796875,0.004852294921875,0.002685546875,0.0060577392578125,0.0351104736328125,0.1241302490234375,0.1994171142578125,0.3566436767578125,0.2054901123046875,0.0417327880859375,0.01824951171875,0.0041351318359375,0.001129150390625,0.0001983642578125,0.0,128.89224243164062,8.495016098022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0649871826171875,0.1925201416015625,0.7424468994140625,4.57763671875e-05,0.0,0.0,0.0,0.0,0.0,0.0,135.54833984375,14.287629127502441,0.0,0.0,0.0,0.0,0.0,0.0,4.57763671875e-05,0.5193328857421875,0.1201934814453125,0.3161163330078125,0.0443115234375,0.0,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1003).JPG,123.75314331054688,31.070981979370117,1.52587890625e-05,0.000152587890625,0.0013885498046875,0.01324462890625,0.0570526123046875,0.1414337158203125,0.1712799072265625,0.163482666015625,0.1426544189453125,0.1561279296875,0.1243133544921875,0.0225677490234375,0.005615234375,0.0006256103515625,4.57763671875e-05,0.0,121.06361389160156,9.11483097076416,0.0,0.0,0.0,0.0,0.0,0.0,0.1550445556640625,0.4926910400390625,0.352264404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.2373809814453,12.131247520446777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2696380615234375,0.0685272216796875,0.62322998046875,0.038604736328125,0.0,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1004).JPG,138.83616638183594,22.431095123291016,1.52587890625e-05,3.0517578125e-05,0.000396728515625,0.00152587890625,0.0045013427734375,0.0266876220703125,0.079559326171875,0.2001190185546875,0.2016448974609375,0.3560333251953125,0.1038970947265625,0.011749267578125,0.0087738037109375,0.004119873046875,0.0009307861328125,1.52587890625e-05,121.54803466796875,10.866605758666992,0.0,0.0,0.0,0.0,0.0,0.001007080078125,0.251861572265625,0.297637939453125,0.4489593505859375,0.0005340576171875,0.0,0.0,0.0,0.0,0.0,0.0,134.24281311035156,13.197612762451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38751220703125,0.298980712890625,0.294891357421875,0.01861572265625,0.0,0.0,0.0,0.0,0.0
Blight,E:\S1Informatika\PCD\tubes\data\Blight\Corn_Blight (1005).JPG,137.6829833984375,35.053653717041016,0.0,0.0,0.0004730224609375,0.011444091796875,0.0435333251953125,0.0692596435546875,0.106689453125,0.1601104736328125,0.1620025634765625,0.172637939453125,0.1291961669921875,0.0893402099609375,0.0329437255859375,0.0130615234375,0.0092010498046875,0.0001068115234375,117.28483581542969,6.910459995269775,0.0,0.0,0.0,0.0,0.0,0.0,0.0924224853515625,0.7683258056640625,0.139251708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.58001708984375,6.986387252807617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940093994140625,0.62225341796875,0.28253173828125,0.0012054443359375,0.0,0.0,0.0,0.0,0.0
